project,amt_2024_actual,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2026_tag_climate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Procurement Of Hospital Beds With Side Drawers to PHC in Central Store at gubio LGAs.,0.0,1200000000.0,1100000000.0,0.0,1321000000.0,0.0,0.0,222,0.8219,0.83987,052110200100,BORNO STATE HOSPITALS MANAGEMENT BOARD (HMB),23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70731,GENERAL HOSPITAL SERVICES,20810900,GUBIO,04010324002803,Health sector coordination mechanisms
Procurement Of Hospital Beds With Side Drawers to PHC in Central Store at dikwa LGAs.,0.0,1500000000.0,1200000000.0,0.0,1321000000.0,0.0,0.0,222,0.83007,0.84804,052110200100,BORNO STATE HOSPITALS MANAGEMENT BOARD (HMB),23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70731,GENERAL HOSPITAL SERVICES,20820800,DIKWA,04010324002803,Health sector coordination mechanisms
purchase of power generating set at konduga,0.0,1000000000.0,1500000000.0,0.0,0.0,0.0,0.0,222,0.83824,0.85621,052110200100,BORNO STATE HOSPITALS MANAGEMENT BOARD (HMB),23010119,PURCHASE OF POWER GENERATING SET,70731,GENERAL HOSPITAL SERVICES,20821600,KONDUGA,04010326002303,Health sector coordination mechanisms
Aquisation of software computer Application for the whole state,0.0,0.0,1000000000.0,0.0,1707000.0,0.0,0.0,222,0.84641,0.86438,052110200100,BORNO STATE HOSPITALS MANAGEMENT BOARD (HMB),23050102,COMPUTER SOFTWARE ACQUISITION,70731,GENERAL HOSPITAL SERVICES,20821600,KONDUGA,04010326002403,Health sector coordination mechanisms
Procurement Of One Toyota Hilux 2020 Vehicle For The College Of Nursing & Midwifery,0.0,20000000.0,20000000.0,0.0,20000000.0,0.0,0.0,222,0.88644,0.90441,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010105,PURCHASE OF MOTOR VEHICLES,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124003902,Pre-service training
Procurement Of One Students toyota 2010 Shuttle Bus for The College Of Nursing And Midwifery.,0.0,129500000.0,129500000.0,0.0,125500000.0,0.0,0.0,222,0.89461,0.91258,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010108,PURCHASE OF BUSES,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004002,Pre-service training
"Procurement Of 4Nos. Of Executive Tables, Executive Chairs, 5Nos. Of Semi Executive Tables And Executive Chairs for The College Of Nursing And Midwifery.",0.0,9000000.0,9000000.0,2733000.0,9000000.0,0.0,0.0,222,0.90278,0.92075,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004102,Pre-service training
Procurement Of 14Nos. Of Hp pavillion core i7 Laptops for The College Of Nursing And Midwifery.,0.0,77000000.0,77000000.0,15537400.0,70000000.0,0.0,0.0,223,0.09069,0.10866,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010113,PURCHASE OF COMPUTERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004202,Pre-service training
Procurement Of 16Nos. Of Hp MX400 3 In 1 Printers for The College Of Nursing And Midwifery.,0.0,5000000.0,5000000.0,0.0,5000000.0,0.0,0.0,223,0.09886,0.11683,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010114,PURCHASE OF COMPUTER PRINTERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004302,Pre-service training
Procurement Of 2Nos. Of Sharp MD200 Brand Photocopying Machines for The College Of Nursing And Midwifery.,0.0,5000000.0,5000000.0,0.0,5000000.0,0.0,0.0,223,0.10621,0.12418,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004402,Pre-service training
Procurement Of 2Nos Of Sharp pro 900 Brand Of Shredding Machines for The College Of Nursing And Midwifery.,0.0,7000000.0,7000000.0,0.0,7000000.0,0.0,0.0,223,0.11438,0.13235,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010117,PURCHASE OF SHREDDING MACHINES,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004502,Pre-service training
Procurement Of 2Nos Of Sharp pro maecel Brand Of Scanner for The College Of Nursing And Midwifery.,0.0,5000000.0,3000000.0,0.0,5000000.0,0.0,0.0,223,0.12255,0.14052,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010118,PURCHASE OF SCANNERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004602,Pre-service training
Purchase Of 10Nos of Fire Fighting equipments for The College Nursing and Midwifery in maiduguri,0.0,3000000.0,3000000.0,0.0,3000000.0,0.0,0.0,223,0.13072,0.14869,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004702,Pre-service training
Purchase Of 10No set of Various Teaching And Learning Equipment in nursing,0.0,200250000.0,180250000.0,150000.0,126250000.0,0.0,0.0,223,0.13889,0.15686,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004802,Pre-service training
Purchase Of various Library Books & Equipment For the nursing,0.0,100250000.0,100250000.0,33856200.0,100250000.0,0.0,0.0,223,0.14706,0.16503,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124004902,Pre-service training
Purchase Of Sporting kits and other game equipment in nursing,0.0,4000000.0,4000000.0,0.0,4000000.0,0.0,0.0,223,0.15523,0.1732,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010126,PURCHASE OF SPORTING / GAMING EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124005002,Pre-service training
CONSTRUCTION/Provision Of sporting facility for The College Of Nursing And Midwifery in Maiduguri,0.0,4000000.0,4000000.0,0.0,25000000.0,0.0,0.0,223,0.16258,0.18056,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124005102,Pre-service training
Construction Of Examination Halls In The College Of Nursing And Midwifery main campus maiduguri,0.0,4000000.0,4000000.0,0.0,4000000.0,0.0,0.0,223,0.17075,0.18873,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23020119,CONSTRUCTION / PROVISION OF RECREATIONAL FACILITIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124005202,Pre-service training
Repairs Of Drainages In The College Of Nursing And Midwifery Main campus maiduguri,0.0,5000000.0,5000000.0,5000000.0,0.0,0.0,0.0,223,0.17892,0.1969,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70631,WATER SUPPLY,20822100,MAIDUGURI METRO,04040124005302,Pre-service training
Repairs Of Housing In The College Of Nursing And Midwifery.,0.0,1000000.0,1000000.0,0.0,21000000.0,0.0,0.0,223,0.18709,0.20507,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23030103,REHABILITATION / REPAIRS - HOUSING,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,04040124005402,Pre-service training
Rehabilitation Of Staff Quarters In The College Of Nursing And Midwifery main campus maiduguri,0.0,5000000.0,25000000.0,0.0,25000000.0,0.0,0.0,223,0.19526,0.21324,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70621,COMMUNITY DEVELOPMENT,20822100,MAIDUGURI METRO,04040124005502,Pre-service training
Rehabilitation and Repairs Of Electricity In The College Of Nursing And Midwifery in maiduguri.,0.0,1000000.0,3000000.0,2455100.0,8000000.0,0.0,0.0,223,0.20343,0.22141,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,20822100,MAIDUGURI METRO,04040124005602,Pre-service training
Rehabilitation / repair of library In The College Of Nursing And Midwifery in Maiduguri.,0.0,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,223,0.21078,0.22876,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23030110,REHABILITATION / REPAIRS - LIBRARIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124005702,Pre-service training
Monitoring And Evaluation is carried of out to increase and improve the level of staff performance in the college,0.0,2000000.0,2000000.0,0.0,2000000.0,0.0,0.0,223,0.21895,0.23693,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23050103,MONITORING AND EVALUATION,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124005802,Pre-service training
"Celebrations of Eid fitr, Eid kabir, Christmas and Easter in the college",0.0,2000000.0,2000000.0,0.0,2000000.0,0.0,0.0,223,0.22712,0.2451,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23050104,ANNIVERSARIES/CELEBRATIONS,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040124000202,Pre-service training
Purchase Of 40 Classroom furniture For the nursing,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.23529,0.25327,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23010140,"PURCHASE OF SCHOOL FURNITURE, FITTINGS & EQUIPMENT",70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040126000102,Pre-service training
REHABILITATION/REPAIRS OF WATER WAYS AT THE MAIDUGURI SCHOOL OF NURSING AND MIDWIFERY.,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,223,0.24346,0.26144,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23030115,REHABILITATION / REPAIRS - WATER-WAY,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040126000202,Pre-service training
CONSTRUCTION/PROVISION OF Lecture Hall and RESIDENTIAL QUARTERS In The College Of Nursing Main campus,0.0,0.0,0.0,0.0,300000000.0,0.0,0.0,223,0.25163,0.26961,052110400100,BORNO STATE COLLEGES OF NURSING SCIENCES,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70941,FIRST STAGE OF TERTIARY EDUCATION,20822100,MAIDUGURI METRO,04040126000302,Pre-service training
Procurement Of One Toyota Hilux 2020 Vehicle For The College Of Nursing & Midwifery,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,223,0.29167,0.30964,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010105,PURCHASE OF MOTOR VEHICLES,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126000402,Pre-service training
Procurement Of One Students toyota 2010 Shuttle Bus for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,216000000.0,0.0,0.0,223,0.29984,0.31781,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010108,PURCHASE OF BUSES,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126000502,Pre-service training
"Procurement Of 4Nos. Of Executive Tables, Executive Chairs, 5Nos. Of Semi Executive Tables And Executive Chairs for The College Of Nursing And Midwifery.",0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.30801,0.32598,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126000602,Pre-service training
Procurement Of 14Nos. Of Hp pavillion core i7 Laptops for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,35000000.0,0.0,0.0,223,0.31536,0.33333,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010113,PURCHASE OF COMPUTERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126000702,Pre-service training
Procurement Of 16Nos. Of Hp MX400 3 In 1 Printers for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,25000000.0,0.0,0.0,223,0.32353,0.3415,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010114,PURCHASE OF COMPUTER PRINTERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126000802,Pre-service training
Procurement Of 2Nos. Of Sharp MD200 Brand Photocopying Machines for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,223,0.3317,0.34967,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126000902,Pre-service training
Procurement Of 2Nos Of Sharp pro 900 Brand Of Shredding Machines for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,223,0.33987,0.35784,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010117,PURCHASE OF SHREDDING MACHINES,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001002,Pre-service training
Procurement Of 2Nos Of Sharp pro maecel Brand Of Scanner for The College Of Nursing And Midwifery MONGUNO.,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,223,0.34804,0.36601,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010118,PURCHASE OF SCANNERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001102,Pre-service training
Purchase Of 10Nos of Fire Fighting equipments for The College Nursing monguno,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.35621,0.37418,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001202,Pre-service training
Purchase Of 10No set of Various Teaching And Learning Equipment in nursing monguno,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,223,0.36356,0.38154,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001302,Pre-service training
Purchase Of various Library Books & Equipment For the nursing monguno,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,223,0.37173,0.38971,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001402,Pre-service training
Purchase Of Sporting kits and other game equipment in nursing monguno,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.3799,0.39788,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010126,PURCHASE OF SPORTING / GAMING EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001502,Pre-service training
Purchase Of 40 Classroom furniture For the nursing monguno,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,223,0.38807,0.40605,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23010140,"PURCHASE OF SCHOOL FURNITURE, FITTINGS & EQUIPMENT",70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001602,Pre-service training
Construction Of Examination Halls AND SPORTING FACILITY In The College Of Nursing And Midwifery main campus MONGUNO.,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,223,0.39624,0.41422,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126001702,Pre-service training
CONSTRUCTION/PROVISION OF RESIDENTIAL QUARTERS In The College Of Nursing And Midwifery Main campus MONGUNO.,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,223,0.40441,0.42239,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70621,COMMUNITY DEVELOPMENT,20812400,MONGUNO,04040126001802,Pre-service training
Repairs Of Housing In The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.41258,0.43056,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70611,HOUSING DEVELOPMENT,20812400,MONGUNO,04040126001902,Pre-service training
Rehabilitation / REPAIR OF ELECTRICITY In The College Of Nursing And Midwifery main campus MONGUNO.,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.41993,0.43791,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70435,ELECTRICITY,20812400,MONGUNO,04040126002002,Pre-service training
Rehabilitation and Repairs Of HOUSING In The College Of Nursing And Midwifery in MONGUNO.,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,223,0.4281,0.44608,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23030103,REHABILITATION / REPAIRS - HOUSING,70611,HOUSING DEVELOPMENT,20812400,MONGUNO,04040126002102,Pre-service training
Rehabilitation / repair of WATER FACILITIES In The College Of Nursing And Midwifery in MONGUNO.,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.43627,0.45425,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70631,WATER SUPPLY,20812400,MONGUNO,04040126002202,Pre-service training
REPAIR AND REHABILITATION OF LIBRARY IN SCHOOL OF NURSING AND MIDWIFERY MONGUNO.,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,223,0.44444,0.46242,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23030110,REHABILITATION / REPAIRS - LIBRARIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126002302,Pre-service training
MONITORING /EVALUATION OF students activities within monguno,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,223,0.45261,0.47059,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23050103,MONITORING AND EVALUATION,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126002402,Pre-service training
"Celebrations of Eid fitr, Eid kabir, Christmas and Easter in the college.",0.0,0.0,0.0,0.0,18000000.0,0.0,0.0,223,0.46078,0.47876,052110500100,BORNO STATE COLLEGE OF NURSING MONGUNO,23050104,ANNIVERSARIES/CELEBRATIONS,70941,FIRST STAGE OF TERTIARY EDUCATION,20812400,MONGUNO,04040126002502,Pre-service training
Procurement Of One Toyota Hilux 2020 Vehicle For The College Of Nursing & Midwifery,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,223,0.50082,0.51879,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010105,PURCHASE OF MOTOR VEHICLES,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126002602,Pre-service training
Procurement Of One Students toyota 2010 Shuttle Bus for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,216000000.0,0.0,0.0,223,0.50899,0.52696,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010108,PURCHASE OF BUSES,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126002702,Pre-service training
"Procurement Of 4Nos. Of Executive Tables, Executive Chairs, 5Nos. Of Semi Executive Tables And Executive Chairs for The College Of Nursing And Midwifery.",0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.51634,0.53431,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126002802,Pre-service training
Procurement Of 14Nos. Of Hp pavillion core i7 Laptops for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,35000000.0,0.0,0.0,223,0.52451,0.54248,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010113,PURCHASE OF COMPUTERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126002902,Pre-service training
Procurement Of 16Nos. Of Hp MX400 3 In 1 Printers for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,25000000.0,0.0,0.0,223,0.53268,0.55065,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010114,PURCHASE OF COMPUTER PRINTERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003002,Pre-service training
Procurement Of 2Nos. Of Sharp MD200 Brand Photocopying Machines for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,223,0.54085,0.55882,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003102,Pre-service training
Procurement Of 2Nos Of Sharp pro 900 Brand Of Shredding Machines for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,223,0.54902,0.56699,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010117,PURCHASE OF SHREDDING MACHINES,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003202,Pre-service training
Procurement Of 2Nos Of Sharp pro maecel Brand Of Scanner for The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,223,0.55719,0.57516,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010118,PURCHASE OF SCANNERS,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003302,Pre-service training
Purchase Of 10Nos of Fire Fighting equipments for The College Nursing gwoza,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.56536,0.58333,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003402,Pre-service training
Purchase Of 10No set of Various Teaching And Learning Equipment in nursing gwoza,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,223,0.57271,0.59069,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003502,Pre-service training
Purchase Of various Library Books & Equipment For the nursing gwoza,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,223,0.58088,0.59886,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003602,Pre-service training
Purchase Of Sporting kits and other game equipment in nursing gwoza,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.58905,0.60703,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010126,PURCHASE OF SPORTING / GAMING EQUIPMENT,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003702,Pre-service training
Purchase Of 40 Classroom furniture For the nursing gwoza,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,223,0.59722,0.6152,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23010140,"PURCHASE OF SCHOOL FURNITURE, FITTINGS & EQUIPMENT",70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003802,Pre-service training
Construction Of Examination Halls In The College Of Nursing And Midwifery main campus maiduguri,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,223,0.60539,0.62337,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126003902,Pre-service training
Construction Of Staff Quarters In The College Of Nursing And Midwifery main campus maiduguri,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,223,0.61356,0.63154,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70621,COMMUNITY DEVELOPMENT,20831100,GWOZA,04040126004002,Pre-service training
Repairs Of Housing In The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.62092,0.63889,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70611,HOUSING DEVELOPMENT,20831100,GWOZA,04040126004102,Pre-service training
Rehabilitation and Repairs Of Electricity In The College Of Nursing And Midwifery in maiduguri.,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.62908,0.64706,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23030102,REHABILITATION / REPAIRS - ELECTRICITY,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126004202,Pre-service training
Repairs Of Housing In The College Of Nursing And Midwifery.,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,223,0.63725,0.65523,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23030103,REHABILITATION / REPAIRS - HOUSING,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126004302,Pre-service training
Repairs Of Drainages In The College Of Nursing And Midwifery Main campus maiduguri,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,223,0.64542,0.6634,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126004402,Pre-service training
Rehabilitation / repair of library In The College Of Nursing And Midwifery in Maiduguri.,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,223,0.65359,0.67157,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23030110,REHABILITATION / REPAIRS - LIBRARIES,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126004502,Pre-service training
Monitoring And Evaluation of student activities within gowza,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,223,0.66176,0.67974,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23050103,MONITORING AND EVALUATION,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126004602,Pre-service training
"Celebrations of Eid fitr, Eid kabir, Christmas and Easter in the college",0.0,0.0,0.0,0.0,18000000.0,0.0,0.0,223,0.66912,0.68709,052110600100,BORNO STATE COLLEGE OF NURSING GWOZA,23050104,ANNIVERSARIES/CELEBRATIONS,70941,FIRST STAGE OF TERTIARY EDUCATION,20831100,GWOZA,04040126004702,Pre-service training
